cidr,bot_owner
13.66.139.0/24,Bing
13.66.144.0/24,Bing
13.67.10.16/28,Bing
13.69.66.240/28,Bing
13.71.172.224/28,Bing
139.217.52.0/28,Bing
157.55.39.0/24,Bing
191.233.204.224/28,Bing
199.30.24.0/23,Bing
20.125.163.80/28,Bing
20.15.133.160/27,Bing
20.36.108.32/28,Bing
20.43.120.16/28,Bing
20.74.197.0/28,Bing
20.79.107.240/28,Bing
207.46.13.0/24,Bing
40.77.139.0/25,Bing
40.77.167.0/24,Bing
40.77.177.0/24,Bing
40.77.178.0/23,Bing
40.77.188.0/22,Bing
40.77.202.0/24,Bing
40.79.131.208/28,Bing
40.79.186.176/28,Bing
51.105.67.0/28,Bing
52.167.144.0/24,Bing
52.231.148.0/28,Bing
65.55.210.0/24,Bing
192.178.4.0/27,Google
192.178.4.128/27,Google
192.178.4.160/27,Google
192.178.4.192/27,Google
192.178.4.224/27,Google
192.178.4.32/27,Google
192.178.4.64/27,Google
192.178.4.96/27,Google
192.178.5.0/27,Google
192.178.6.0/27,Google
192.178.6.128/27,Google
192.178.6.160/27,Google
192.178.6.192/27,Google
192.178.6.224/27,Google
192.178.6.32/27,Google
192.178.6.64/27,Google
192.178.6.96/27,Google
192.178.7.0/27,Google
192.178.7.128/27,Google
192.178.7.160/27,Google
192.178.7.192/27,Google
192.178.7.224/27,Google
192.178.7.32/27,Google
192.178.7.64/27,Google
192.178.7.96/27,Google
34.100.182.96/28,Google
34.101.50.144/28,Google
34.118.254.0/28,Google
34.118.66.0/28,Google
34.126.178.96/28,Google
34.146.150.144/28,Google
34.147.110.144/28,Google
34.151.74.144/28,Google
34.152.50.64/28,Google
34.154.114.144/28,Google
34.155.98.32/28,Google
34.165.18.176/28,Google
34.175.160.64/28,Google
34.176.130.16/28,Google
34.22.85.0/27,Google
34.64.82.64/28,Google
34.65.242.112/28,Google
34.80.50.80/28,Google
34.88.194.0/28,Google
34.89.10.80/28,Google
34.89.198.80/28,Google
34.96.162.48/28,Google
35.247.243.240/28,Google
66.249.64.0/27,Google
66.249.64.128/27,Google
66.249.64.160/27,Google
66.249.64.192/27,Google
66.249.64.224/27,Google
66.249.64.32/27,Google
66.249.64.64/27,Google
66.249.64.96/27,Google
66.249.65.0/27,Google
66.249.65.128/27,Google
66.249.65.160/27,Google
66.249.65.192/27,Google
66.249.65.224/27,Google
66.249.65.32/27,Google
66.249.65.64/27,Google
66.249.65.96/27,Google
66.249.66.0/27,Google
66.249.66.128/27,Google
66.249.66.160/27,Google
66.249.66.192/27,Google
66.249.66.224/27,Google
66.249.66.32/27,Google
66.249.66.64/27,Google
66.249.66.96/27,Google
66.249.67.0/27,Google
66.249.67.32/27,Google
66.249.67.64/27,Google
66.249.68.0/27,Google
66.249.68.128/27,Google
66.249.68.160/27,Google
66.249.68.192/27,Google
66.249.68.32/27,Google
66.249.68.64/27,Google
66.249.68.96/27,Google
66.249.69.0/27,Google
66.249.69.128/27,Google
66.249.69.160/27,Google
66.249.69.192/27,Google
66.249.69.224/27,Google
66.249.69.32/27,Google
66.249.69.64/27,Google
66.249.69.96/27,Google
66.249.70.0/27,Google
66.249.70.128/27,Google
66.249.70.160/27,Google
66.249.70.192/27,Google
66.249.70.224/27,Google
66.249.70.32/27,Google
66.249.70.64/27,Google
66.249.70.96/27,Google
66.249.71.0/27,Google
66.249.71.128/27,Google
66.249.71.160/27,Google
66.249.71.192/27,Google
66.249.71.224/27,Google
66.249.71.32/27,Google
66.249.71.64/27,Google
66.249.71.96/27,Google
66.249.72.0/27,Google
66.249.72.128/27,Google
66.249.72.160/27,Google
66.249.72.192/27,Google
66.249.72.224/27,Google
66.249.72.32/27,Google
66.249.72.64/27,Google
66.249.73.0/27,Google
66.249.73.128/27,Google
66.249.73.160/27,Google
66.249.73.192/27,Google
66.249.73.224/27,Google
66.249.73.32/27,Google
66.249.73.64/27,Google
66.249.73.96/27,Google
66.249.74.0/27,Google
66.249.74.128/27,Google
66.249.74.160/27,Google
66.249.74.192/27,Google
66.249.74.224/27,Google
66.249.74.32/27,Google
66.249.74.64/27,Google
66.249.74.96/27,Google
66.249.75.0/27,Google
66.249.75.128/27,Google
66.249.75.160/27,Google
66.249.75.192/27,Google
66.249.75.224/27,Google
66.249.75.32/27,Google
66.249.75.64/27,Google
66.249.75.96/27,Google
66.249.76.0/27,Google
66.249.76.128/27,Google
66.249.76.160/27,Google
66.249.76.192/27,Google
66.249.76.224/27,Google
66.249.76.32/27,Google
66.249.76.64/27,Google
66.249.76.96/27,Google
66.249.77.0/27,Google
66.249.77.128/27,Google
66.249.77.160/27,Google
66.249.77.192/27,Google
66.249.77.224/27,Google
66.249.77.32/27,Google
66.249.77.64/27,Google
66.249.77.96/27,Google
66.249.78.0/27,Google
66.249.78.128/27,Google
66.249.78.160/27,Google
66.249.78.32/27,Google
66.249.78.64/27,Google
66.249.78.96/27,Google
66.249.79.0/27,Google
66.249.79.128/27,Google
66.249.79.160/27,Google
66.249.79.192/27,Google
66.249.79.224/27,Google
66.249.79.32/27,Google
66.249.79.64/27,Google
132.196.86.0/24,OpenAI
172.182.202.0/25,OpenAI
172.182.204.0/24,OpenAI
172.182.207.0/25,OpenAI
172.182.214.0/24,OpenAI
172.182.215.0/24,OpenAI
20.125.66.80/28,OpenAI
20.171.206.0/24,OpenAI
20.171.207.0/24,OpenAI
4.227.36.0/25,OpenAI
52.230.152.0/24,OpenAI
74.7.175.128/25,OpenAI
74.7.227.0/25,OpenAI
74.7.227.128/25,OpenAI
74.7.228.0/25,OpenAI
74.7.230.0/25,OpenAI
74.7.241.0/25,OpenAI
74.7.241.128/25,OpenAI
74.7.242.0/25,OpenAI
74.7.243.128/25,OpenAI
74.7.244.0/25,OpenAI
