asn,asn_type
3,education
10,education
11,education
17,education
26,education
27,government
46,education
71,education
73,education
174,isp
568,government
701,isp
714,business
721,government
1299,isp
2906,business
2914,isp
3215,isp
3320,isp
3356,isp
3544,government
3786,isp
4134,isp
4713,isp
4755,isp
4766,isp
4812,isp
4837,isp
5400,isp
6167,isp
6805,isp
6830,isp
6939,isp
7018,isp
7738,isp
7922,isp
8001,hosting
8068,hosting
8075,hosting
8151,isp
9009,hosting
9121,isp
9299,isp
9808,isp
9829,isp
12322,isp
13335,hosting
13414,business
14061,hosting
14618,hosting
15169,hosting
16276,hosting
16509,hosting
16591,business
17676,isp
18881,isp
19527,hosting
19679,business
20001,isp
20473,hosting
20940,hosting
22773,isp
24560,isp
24940,hosting
28573,isp
31898,hosting
32934,business
33438,hosting
36351,business
36459,business
36492,hosting
37963,hosting
40027,business
44273,hosting
45090,hosting
46489,hosting
46606,business
51167,hosting
54113,business
55081,hosting
55836,isp
55967,hosting
63949,hosting
132203,hosting
138699,hosting
209843,hosting
394699,business
395973,hosting
396982,hosting
